Size;Regular +;Regular *;Fast +;Fast *;Regular total;Fast total
2 x 2;8;8;18;7;16;25;
4 x 4;64;64;198;49;128;247;
8 x 8;512;512;1674;343;1024;2017;
16 x 16;4096;4096;12870;2401;8192;15271;
32 x 32;32768;32768;94698;16807;65536;111505;
64 x 64;262144;262144;681318;117649;524288;798967;
128 x 128;2097152;2097152;4842954;823543;4194304;5666497;
256 x 256;16777216;16777216;34195590;5764801;33554432;39960391;
512 x 512;134217728;134217728;240548778;40353607;268435456;280902385;
