Size;Time;Threads
500x500;0,19731800;1
500x500;0,10421900;2
500x500;0,09564900;4
500x500;0,07029200;8
500x500;0,08987700;10
500x500;0,08951100;12
1000x1000;2,60336300;1
1000x1000;1,25501100;2
1000x1000;0,94656800;4
1000x1000;0,73029700;8
1000x1000;0,65949200;10
1000x1000;0,75099700;12
2000x2000;67,13908500;1
2000x2000;36,67173900;2
2000x2000;22,41762700;4
2000x2000;18,46963300;8
2000x2000;18,42077300;10
2000x2000;18,03003900;12
