BufferSize ReadBandwidth(Mb/s)
4 30.916633
4 30.916633
4 30.916633
4 30.916633
4 30.916633
4 30.916633
4 30.916633
4 30.916633
4 30.916633
4 30.916633
4 30.303096
4 30.303096
4 30.303096
4 30.303096
4 30.303096
4 30.303096
4 30.303096
4 30.303096
4 30.303096
4 30.303096
4 29.756809
4 29.756809
4 29.756809
4 29.756809
4 29.756809
4 29.756809
4 29.756809
4 29.756809
4 29.756809
4 29.756809
4 30.689794
4 30.689794
4 30.689794
4 30.689794
4 30.689794
4 30.689794
4 30.689794
4 30.689794
4 30.689794
4 30.689794
4 29.595913
4 29.595913
4 29.595913
4 29.595913
4 29.595913
4 29.595913
4 29.595913
4 29.595913
4 29.595913
4 29.595913
4 30.283081
4 30.283081
4 30.283081
4 30.283081
4 30.283081
4 30.283081
4 30.283081
4 30.283081
4 30.283081
4 30.283081
4 29.067428
4 29.067428
4 29.067428
4 29.067428
4 29.067428
4 29.067428
4 29.067428
4 29.067428
4 29.067428
4 29.067428
4 29.012834
4 29.012834
4 29.012834
4 29.012834
4 29.012834
4 29.012834
4 29.012834
4 29.012834
4 29.012834
4 29.012834
4 30.055389
4 30.055389
4 30.055389
4 30.055389
4 30.055389
4 30.055389
4 30.055389
4 30.055389
4 30.055389
4 30.055389
4 30.229260
4 30.229260
4 30.229260
4 30.229260
4 30.229260
4 30.229260
4 30.229260
4 30.229260
4 30.229260
4 30.229260
4 29.259189
4 29.259189
4 29.259189
4 29.259189
4 29.259189
4 29.259189
4 29.259189
4 29.259189
4 29.259189
4 29.259189
4 29.410116
4 29.410116
4 29.410116
4 29.410116
4 29.410116
4 29.410116
4 29.410116
4 29.410116
4 29.410116
4 29.410116
4 29.148295
4 29.148295
4 29.148295
4 29.148295
4 29.148295
4 29.148295
4 29.148295
4 29.148295
4 29.148295
4 29.148295
4 29.775491
4 29.775491
4 29.775491
4 29.775491
4 29.775491
4 29.775491
4 29.775491
4 29.775491
4 29.775491
4 29.775491
4 29.615730
4 29.615730
4 29.615730
4 29.615730
4 29.615730
4 29.615730
4 29.615730
4 29.615730
4 29.615730
4 29.615730
4 29.924167
4 29.924167
4 29.924167
4 29.924167
4 29.924167
4 29.924167
4 29.924167
4 29.924167
4 29.924167
4 29.924167
4 29.835133
4 29.835133
4 29.835133
4 29.835133
4 29.835133
4 29.835133
4 29.835133
4 29.835133
4 29.835133
4 29.835133
4 29.373390
4 29.373390
4 29.373390
4 29.373390
4 29.373390
4 29.373390
4 29.373390
4 29.373390
4 29.373390
4 29.373390
4 29.126751
4 29.126751
4 29.126751
4 29.126751
4 29.126751
4 29.126751
4 29.126751
4 29.126751
4 29.126751
4 29.126751
4 30.265866
4 30.265866
4 30.265866
4 30.265866
4 30.265866
4 30.265866
4 30.265866
4 30.265866
4 30.265866
4 30.265866
