MemoryType;BlockSize;ElementType;BufferSize;LaunchNum;Timer;WriteTime(s);AverageWriteTime(s);WriteBandwidth(Mb/s);AbsError(write)(s);RelError(write)(%);ReadTime(s);AverageReadTime(s);ReadBandwidth(Mb/s);AbsError(read)(s);RelError(read)(%)
FLASH;16777216;int;4;4;chrono::high_resolution_clock;9,187446;9,264064;0,221069;9,264028;99,999611%;0,067264;0,066732;30,689794;0,066696;99,946053%
FLASH;16777216;int;4;5;chrono::high_resolution_clock;9,235696;9,264064;0,221069;9,264028;99,999611%;0,066900;0,066732;30,689794;0,066696;99,946053%
FLASH;16777216;int;4;6;chrono::high_resolution_clock;9,240562;9,264064;0,221069;9,264028;99,999611%;0,065276;0,066732;30,689794;0,066696;99,946053%
FLASH;16777216;int;4;7;chrono::high_resolution_clock;9,207214;9,264064;0,221069;9,264028;99,999611%;0,066467;0,066732;30,689794;0,066696;99,946053%
FLASH;16777216;int;4;8;chrono::high_resolution_clock;9,089618;9,264064;0,221069;9,264028;99,999611%;0,065622;0,066732;30,689794;0,066696;99,946053%
FLASH;16777216;int;4;9;chrono::high_resolution_clock;9,082694;9,264064;0,221069;9,264028;99,999611%;0,066240;0,066732;30,689794;0,066696;99,946053%
FLASH;16777216;int;4;10;chrono::high_resolution_clock;9,942004;9,264064;0,221069;9,264028;99,999611%;0,064526;0,066732;30,689794;0,066696;99,946053%
FLASH;20971520;int;4;1;chrono::high_resolution_clock;11,608310;11,772334;0,217459;11,772298;99,999694%;0,086657;0,086498;29,595913;0,086462;99,958381%
FLASH;20971520;int;4;2;chrono::high_resolution_clock;11,459379;11,772334;0,217459;11,772298;99,999694%;0,084436;0,086498;29,595913;0,086462;99,958381%
FLASH;20971520;int;4;3;chrono::high_resolution_clock;11,287538;11,772334;0,217459;11,772298;99,999694%;0,082157;0,086498;29,595913;0,086462;99,958381%
FLASH;20971520;int;4;4;chrono::high_resolution_clock;11,718470;11,772334;0,217459;11,772298;99,999694%;0,084944;0,086498;29,595913;0,086462;99,958381%
FLASH;20971520;int;4;5;chrono::high_resolution_clock;12,752150;11,772334;0,217459;11,772298;99,999694%;0,083542;0,086498;29,595913;0,086462;99,958381%
FLASH;20971520;int;4;6;chrono::high_resolution_clock;11,307470;11,772334;0,217459;11,772298;99,999694%;0,081272;0,086498;29,595913;0,086462;99,958381%
FLASH;20971520;int;4;7;chrono::high_resolution_clock;12,198062;11,772334;0,217459;11,772298;99,999694%;0,086583;0,086498;29,595913;0,086462;99,958381%
FLASH;20971520;int;4;8;chrono::high_resolution_clock;11,199981;11,772334;0,217459;11,772298;99,999694%;0,084454;0,086498;29,595913;0,086462;99,958381%
FLASH;20971520;int;4;9;chrono::high_resolution_clock;12,956588;11,772334;0,217459;11,772298;99,999694%;0,102869;0,086498;29,595913;0,086462;99,958381%
FLASH;20971520;int;4;10;chrono::high_resolution_clock;11,235397;11,772334;0,217459;11,772298;99,999694%;0,088069;0,086498;29,595913;0,086462;99,958381%
FLASH;25165824;int;4;1;chrono::high_resolution_clock;14,592818;13,517205;0,227266;13,517169;99,999734%;0,100524;0,101443;30,283081;0,101407;99,964512%
FLASH;25165824;int;4;2;chrono::high_resolution_clock;12,869387;13,517205;0,227266;13,517169;99,999734%;0,100572;0,101443;30,283081;0,101407;99,964512%
FLASH;25165824;int;4;3;chrono::high_resolution_clock;12,853909;13,517205;0,227266;13,517169;99,999734%;0,102454;0,101443;30,283081;0,101407;99,964512%
FLASH;25165824;int;4;4;chrono::high_resolution_clock;13,985689;13,517205;0,227266;13,517169;99,999734%;0,102516;0,101443;30,283081;0,101407;99,964512%
FLASH;25165824;int;4;5;chrono::high_resolution_clock;12,889705;13,517205;0,227266;13,517169;99,999734%;0,098707;0,101443;30,283081;0,101407;99,964512%
FLASH;25165824;int;4;6;chrono::high_resolution_clock;14,142977;13,517205;0,227266;13,517169;99,999734%;0,102408;0,101443;30,283081;0,101407;99,964512%
FLASH;25165824;int;4;7;chrono::high_resolution_clock;13,045800;13,517205;0,227266;13,517169;99,999734%;0,103487;0,101443;30,283081;0,101407;99,964512%
FLASH;25165824;int;4;8;chrono::high_resolution_clock;13,205330;13,517205;0,227266;13,517169;99,999734%;0,103864;0,101443;30,283081;0,101407;99,964512%
FLASH;25165824;int;4;9;chrono::high_resolution_clock;14,698136;13,517205;0,227266;13,517169;99,999734%;0,102246;0,101443;30,283081;0,101407;99,964512%
FLASH;25165824;int;4;10;chrono::high_resolution_clock;12,888300;13,517205;0,227266;13,517169;99,999734%;0,097649;0,101443;30,283081;0,101407;99,964512%
FLASH;29360128;int;4;1;chrono::high_resolution_clock;14,906186;15,324233;0,233878;15,324197;99,999765%;0,120014;0,123300;29,067428;0,123264;99,970803%
FLASH;29360128;int;4;2;chrono::high_resolution_clock;16,323983;15,324233;0,233878;15,324197;99,999765%;0,120490;0,123300;29,067428;0,123264;99,970803%
FLASH;29360128;int;4;3;chrono::high_resolution_clock;14,739379;15,324233;0,233878;15,324197;99,999765%;0,121180;0,123300;29,067428;0,123264;99,970803%
FLASH;29360128;int;4;4;chrono::high_resolution_clock;15,510875;15,324233;0,233878;15,324197;99,999765%;0,119506;0,123300;29,067428;0,123264;99,970803%
FLASH;29360128;int;4;5;chrono::high_resolution_clock;16,059708;15,324233;0,233878;15,324197;99,999765%;0,120761;0,123300;29,067428;0,123264;99,970803%
FLASH;29360128;int;4;6;chrono::high_resolution_clock;14,881936;15,324233;0,233878;15,324197;99,999765%;0,115013;0,123300;29,067428;0,123264;99,970803%
FLASH;29360128;int;4;7;chrono::high_resolution_clock;14,971732;15,324233;0,233878;15,324197;99,999765%;0,122539;0,123300;29,067428;0,123264;99,970803%
FLASH;29360128;int;4;8;chrono::high_resolution_clock;14,636199;15,324233;0,233878;15,324197;99,999765%;0,123237;0,123300;29,067428;0,123264;99,970803%
FLASH;29360128;int;4;9;chrono::high_resolution_clock;14,938794;15,324233;0,233878;15,324197;99,999765%;0,131275;0,123300;29,067428;0,123264;99,970803%
FLASH;29360128;int;4;10;chrono::high_resolution_clock;16,273533;15,324233;0,233878;15,324197;99,999765%;0,138981;0,123300;29,067428;0,123264;99,970803%
FLASH;33554432;int;4;1;chrono::high_resolution_clock;16,734026;17,308272;0,236650;17,308236;99,999792%;0,140047;0,141179;29,012834;0,141143;99,974500%
