-0,000003
676619,474667
948322,189461
143816,945490
1475153,337135
2018904,095960
1358930,632212
3222504,594490
2626495,060579
-443877,778791
-583301,047897
1733372,695729
98784,223319
4795355,694465
503187,561885
5004626,506511
5071462,393499
1698874,108329
2899943,232496
15044004,897529
-1071998,008981
6428661,617120
-1156913,764878
-890954,677185
3429918,570878
12877887,741533
8537270,170067
-9492399,024858
14433937,790641
5711547,004459
15261639,409600
14514814,283599
8594324,052838
491064,260449
-8245275,362204
7789163,460424
2289053,598475
8881017,782665
15348679,289716
20985650,892026
-21175850,815268
15309186,917174
9981032,615808
33742765,056648
6951537,540352
6238452,124573
29720881,112024
-17513944,409054
4328892,447932
13905581,279588
11260381,061852
-12512201,129126
19043669,323335
29478228,166710
-5724883,760515
-7675646,232789
9418960,899575
30332027,715899
6742628,927880
15304723,333068
15405516,005883
24444425,975448
27968683,385675
13856461,264800
27127256,412485
-6487276,627575
13061088,534034
25419406,977471
-7458157,928598
-6501702,087355
-15055887,483245
26435499,251355
-2342193,650212
5186881,416599
-29595379,606113
-15107645,286360
-2337433,958923
-4009763,377640
3595905,792019
-4871891,043898
1817969,140452
20000875,514100
17389842,024027
-20862019,434590
-12624300,221287
-17871019,563583
-7225594,324901
334631,805054
-22317122,659173
-17742200,959636
-14137386,718668
-6340553,731693
-20563888,534578
3448172,249206
-19470945,186798
-10380211,449931
-15964244,077602
-9346431,745700
-11802096,239695
-22655618,478507
-26002664,806503
-32887888,292821
-24777085,077731
-10350976,176083
2366609,266964
-14079531,086060
-2753845,079704
-19093243,639355
-11487399,288045
-16666249,135721
-31024039,018426
-25435466,332114
-20667118,319111
-14634114,203603
-24951198,184212
-20685741,577738
-16333872,487276
-27103469,206748
-16554040,139059
-19400677,339394
-21574506,668745
-22225920,009496
-17498419,112989
-18405663,993780
-25852738,314631
-23415712,475507
-22099870,511087
-23348320,588465
-26486650,669987
-25886015,330233
-25172820,686043
-26764100,401955
-27334794,358454
-29860578,956579
-18990732,230567
-30438861,025543
-36455238,772688
-15040080,214769
-37752026,210804
-34590702,724467
-19186806,938658
-43617965,105889
-26557575,810634
-33001621,014316
-39786118,852960
-17819429,935348
-42833271,324012
-31200116,540052
-44420568,479766
-43759402,026934
-22287191,896904
-18826752,283183
-22794301,765609
-45691027,998941
-34186106,760488
-20551564,818514
-31939501,076947
-20987492,359980
-12185672,515777
-39817965,602450
-47109068,096844
-51975201,596290
-54720385,663271
-74785791,185323
-54698206,920922
-18651882,544163
7176847,767885
7496663,744077
-73781882,938666
-37760777,965149
-74283718,983474
-31500669,091985
-42597453,951646
-30318773,698984
-49677502,095735
-51345126,857247
-70517200,995122
-45217517,950042
-77185408,373298
-63181214,731847
-87821034,691616
-66361109,021647
-24879042,032410
-54242466,257152
-70045106,793064
-75307449,887783
-19458804,582489
-18896285,188001
-80329923,047773
-60784084,411993
-80835429,868798
-116095367,391790
-30813294,771803
34608788,075522
-89246081,361351
-27175838,429545
-77509886,077994
-73229153,076183
26647665,493358
-89093344,896868
-96334765,154685
3172377,348181
25503926,679084
-47015836,616192
-45860482,825881
-69306812,831624
-14238639,329157
-116467535,333633
17410690,763306
-100535432,986632
-99262180,309872
31090914,763111
40805329,045365
55967784,330372
-54907148,896249
-26378181,994107
-68231876,867892
-19388008,523840
-73341551,109633
65486169,250186
-71687623,571843
-27338756,883543
55600351,473003
33385304,375426
32994246,956797
-6648084,006166
56786096,581218
-12196260,487317
-1342864,243694
-138161865,481887
-49484591,814388
-111030946,050701
38442280,577332
-9964710,660345
-59067108,625369
46166486,929026
41922057,114031
-53486150,206182
-390450,094116
-50823172,989870
23143595,477499
54819680,840831
48153433,101713
-62916386,284443
-35091343,905291
61321757,064257
-10775538,782677
-19761179,862328
28114852,019963
-63615392,657705
-53925928,278353
-97938001,364731
60339789,858793
-50439852,180792
-41863180,045087
18326381,935138
-1050053,021893
10272,779465
-160158,335383
-44059,304474
140828,900723
767923,176526
463585,135520
1423654,259512
662591,952669
-826293,120249
-386907,641244
-108531,522025
204992,301452
3430335,364130
321811,676144
3166753,822515
2331340,235527
12501,965312
1588240,744885
7694591,910920
-1743936,471036
4967309,036440
691373,320239
-1571418,712076
1211385,368926
5959950,323183
3015847,356429
-5529466,866482
6729761,949661
3475440,019680
6383603,559819
5437855,165958
1824756,897446
2116967,071278
-3733544,763294
5249227,778747
3334586,291699
5454249,782306
5157006,266216
10192423,804083
-14519600,682449
3609380,485696
665473,197715
17172376,269299
6226029,687167
4095768,367399
15500438,537680
-10156481,474616
-4298368,550732
2925279,716156
8275771,492636
-6151919,492559
10926682,744641
13812732,245243
-7263949,693236
-9465965,777724
954692,028453
13641144,892457
-1599838,902927
4410462,553601
4565033,093711
8606559,638208
15086554,534833
1006676,991309
10122157,794755
-7923220,553194
2769326,661202
13086737,617831
-6932792,662444
-5757404,604902
-9673269,613504
6903118,709206
-8323286,549898
-1758914,287534
-21264696,692088
-11958245,487138
-5130758,250066
-8679991,294689
-1332543,054588
-4771419,594273
-5308839,696124
3511223,791414
5204642,066446
-14268558,497434
-12673172,673505
-11656656,988950
-9797070,680420
-6425052,211344
-17599185,829128
-15165530,159747
-10079252,405884
-8899810,742852
-16161602,177264
-9242200,178241
-17193300,455401
-14193735,758212
-18000776,262112
-12809438,419647
-12768648,190250
-18938841,807601
-22733764,818732
-25817098,273611
-22905452,580350
-17690865,008568
-10174143,203162
-18501858,308528
-14448050,518608
-18608645,989958
-16770123,952374
-18047749,667676
-26677580,396366
-25680995,583928
-22107284,891361
-18816271,520324
-25272343,417871
-23679574,093065
-19261916,184097
-24239872,050871
-20382514,563343
-22752167,913164
-24057529,622259
-22889702,874743
-19094645,138542
-18369192,783386
-25928155,722713
-23345091,233014
-21692819,641187
-23149916,644607
-26068266,050258
-24745983,357387
-24494126,085268
-27026865,484405
-27467439,192628
-26315619,466603
-19876056,667199
-27680155,377528
-31256729,489687
-18766103,299631
-30199008,894988
-28887675,553986
-21483622,355282
-33496856,450470
-28702103,097006
-32639532,003946
-30519082,510118
-19932749,648317
-31141660,740399
-28202977,488306
-35317452,104392
-30223866,658173
-26400067,156406
-27385782,203281
-26593383,538776
-37821663,664685
-33190251,072163
-28955073,784000
-29799547,670275
-24797319,483354
-22857003,153624
-35752774,101933
-33966388,739309
-34935709,680534
-33070705,186637
-40047428,819357
-44124501,736124
-18261024,605962
-13637116,237860
-15753335,320708
-45296369,154538
-33625923,700153
-45756074,111466
-33554191,051222
-35073130,713551
-32527827,505281
-37423934,216105
-31269015,988261
-33466820,532365
-27802035,796590
-29267370,796777
-27823862,963434
-42549737,214458
-30853821,927010
-22382922,490089
-38601232,636674
-35925318,624856
-29535546,491947
-24221763,414638
-29245772,778559
-36636902,772237
-34560713,461831
-32671428,631809
-44290587,750376
-15805397,502679
-4101232,224178
-32755991,196420
-26908740,094567
-29984055,142954
-21859785,412632
-5332389,426512
-21672016,195671
-30753953,520647
-21842832,701219
-12513851,557251
-13741645,694892
-23132918,070000
-25990800,864706
-17920316,418071
-34004425,563275
-7947239,365573
-35299725,173719
-32869896,360324
-17836786,808791
-7786187,615224
